date,profile,treatment,rank,asset
2025-03-24,conservative,T1,3,TRX
2025-03-24,conservative,T1,4,DOT
2025-03-24,conservative,T1,5,ETC
2025-03-24,conservative,T1,6,BTC
2025-03-24,conservative,T1,7,ADA
2025-03-24,conservative,T1,8,XRP
2025-03-24,conservative,T1,9,XLM
2025-03-24,conservative,T1,10,LTC
2025-03-25,conservative,T0,1,BCH
2025-03-25,conservative,T0,2,BNB
2025-03-25,conservative,T0,3,TRX
2025-03-25,conservative,T0,4,DOT
2025-03-25,conservative,T0,5,ETC
2025-03-25,conservative,T0,6,ADA
2025-03-25,conservative,T0,7,BTC
2025-03-25,conservative,T0,8,XRP
2025-03-25,conservative,T0,9,XLM
2025-03-25,conservative,T0,10,LINK
2025-03-25,conservative,T1,1,BNB
2025-03-25,conservative,T1,2,TRX
2025-03-25,conservative,T1,3,DOT
2025-03-25,conservative,T1,4,BCH
2025-03-25,conservative,T1,5,ETC
2025-03-25,conservative,T1,6,BTC
2025-03-25,conservative,T1,7,ADA
2025-03-25,conservative,T1,8,XRP
2025-03-25,conservative,T1,9,XLM
2025-03-25,conservative,T1,10,LTC
2025-03-26,conservative,T0,1,BCH
2025-03-26,conservative,T0,2,DOT
2025-03-26,conservative,T0,3,ADA
2025-03-26,conservative,T0,4,XRP
2025-03-26,conservative,T0,5,BNB
2025-03-26,conservative,T0,6,ETC
2025-03-26,conservative,T0,7,BTC
2025-03-26,conservative,T0,8,XLM
2025-03-26,conservative,T0,9,TRX
2025-03-26,conservative,T0,10,LINK
2025-03-26,conservative,T1,1,DOT
2025-03-26,conservative,T1,2,BCH
2025-03-26,conservative,T1,3,BNB
2025-03-26,conservative,T1,4,ETC
2025-03-26,conservative,T1,5,TRX
2025-03-26,conservative,T1,6,XRP
2025-03-26,conservative,T1,7,BTC
2025-03-26,conservative,T1,8,ADA
2025-03-26,conservative,T1,9,XLM
2025-03-26,conservative,T1,10,LINK
2025-03-27,conservative,T0,1,BCH
2025-03-27,conservative,T0,2,ADA
2025-03-27,conservative,T0,3,BNB
2025-03-27,conservative,T0,4,TRX
2025-03-27,conservative,T0,5,XRP
2025-03-27,conservative,T0,6,BTC
2025-03-27,conservative,T0,7,DOT
2025-03-27,conservative,T0,8,ETC
2025-03-27,conservative,T0,9,XLM
2025-03-27,conservative,T0,10,LINK
2025-03-27,conservative,T1,1,BNB
2025-03-27,conservative,T1,2,BCH
2025-03-27,conservative,T1,3,DOT
2025-03-27,conservative,T1,4,TRX
2025-03-27,conservative,T1,5,ETC
2025-03-27,conservative,T1,6,BTC
2025-03-27,conservative,T1,7,XLM
2025-03-27,conservative,T1,8,XRP
2025-03-27,conservative,T1,9,ADA
2025-03-27,conservative,T1,10,LTC
2025-03-28,conservative,T0,1,BCH
2025-03-28,conservative,T0,2,ADA
2025-03-28,conservative,T0,3,BNB
2025-03-28,conservative,T0,4,BTC
2025-03-28,conservative,T0,5,TRX
2025-03-28,conservative,T0,6,XRP
2025-03-28,conservative,T0,7,ETC
2025-03-28,conservative,T0,8,XLM
2025-03-28,conservative,T0,9,DOT
2025-03-28,conservative,T0,10,SOL
2025-03-28,conservative,T1,1,BCH
2025-03-28,conservative,T1,2,ADA
2025-03-28,conservative,T1,3,XRP
2025-03-28,conservative,T1,4,BTC
2025-03-28,conservative,T1,5,BNB
2025-03-28,conservative,T1,6,TRX
2025-03-28,conservative,T1,7,XLM
2025-03-28,conservative,T1,8,ETC
2025-03-28,conservative,T1,9,DOT
2025-03-28,conservative,T1,10,SOL
2025-03-29,conservative,T0,1,BCH
2025-03-29,conservative,T0,2,BNB
2025-03-29,conservative,T0,3,ADA
2025-03-29,conservative,T0,4,TRX
2025-03-29,conservative,T0,5,BTC
2025-03-29,conservative,T0,6,XRP
2025-03-29,conservative,T0,7,ETC
2025-03-29,conservative,T0,8,XLM
2025-03-29,conservative,T0,9,DOT
2025-03-29,conservative,T0,10,LINK
2025-03-29,conservative,T1,1,BCH
2025-03-29,conservative,T1,2,ADA
2025-03-29,conservative,T1,3,XRP
2025-03-29,conservative,T1,4,BNB
2025-03-29,conservative,T1,5,BTC
2025-03-29,conservative,T1,6,TRX
2025-03-29,conservative,T1,7,XLM
2025-03-29,conservative,T1,8,ETC
2025-03-29,conservative,T1,9,LINK
2025-03-29,conservative,T1,10,SOL
2025-03-30,conservative,T0,1,ADA
2025-03-30,conservative,T0,2,BNB
2025-03-30,conservative,T0,3,XRP
2025-03-30,conservative,T0,4,BCH
2025-03-30,conservative,T0,5,BTC
2025-03-30,conservative,T0,6,TRX
2025-03-30,conservative,T0,7,XLM
2025-03-30,conservative,T0,8,DOT
2025-03-30,conservative,T0,9,ETC
2025-03-30,conservative,T0,10,LINK
2025-03-30,conservative,T1,1,BNB
2025-03-30,conservative,T1,2,ADA
2025-03-30,conservative,T1,3,BTC
2025-03-30,conservative,T1,4,XRP
2025-03-30,conservative,T1,5,BCH
2025-03-30,conservative,T1,6,TRX
2025-03-30,conservative,T1,7,XLM
2025-03-30,conservative,T1,8,DOT
2025-03-30,conservative,T1,9,ETC
2025-03-30,conservative,T1,10,ETH
2025-03-31,conservative,T0,1,BNB
2025-03-31,conservative,T0,2,ADA
2025-03-31,conservative,T0,3,BCH
2025-03-31,conservative,T0,4,BTC
2025-03-31,conservative,T0,5,XRP
2025-03-31,conservative,T0,6,DOT
2025-03-31,conservative,T0,7,TRX
2025-03-31,conservative,T0,8,ETC
2025-03-31,conservative,T0,9,LINK
2025-03-31,conservative,T0,10,XLM
2025-03-31,conservative,T1,1,BNB
2025-03-31,conservative,T1,2,BCH
2025-03-31,conservative,T1,3,ADA
2025-03-31,conservative,T1,4,BTC
2025-03-31,conservative,T1,5,TRX
2025-03-31,conservative,T1,6,XRP
2025-03-31,conservative,T1,7,DOT
2025-03-31,conservative,T1,8,ETC
2025-03-31,conservative,T1,9,ETH
2025-03-31,conservative,T1,10,XLM
2025-04-01,conservative,T0,1,BNB
2025-04-01,conservative,T0,2,BCH
2025-04-01,conservative,T0,3,TRX
2025-04-01,conservative,T0,4,BTC
2025-04-01,conservative,T0,5,ETC
2025-04-01,conservative,T0,6,DOT
2025-04-01,conservative,T0,7,XLM
2025-04-01,conservative,T0,8,AVAX
2025-04-01,conservative,T0,9,LINK
2025-04-01,conservative,T0,10,ETH
2025-04-01,conservative,T1,1,BNB
2025-04-01,conservative,T1,2,BCH
2025-04-01,conservative,T1,3,TRX
2025-04-01,conservative,T1,4,BTC
2025-04-01,conservative,T1,5,ETC
2025-04-01,conservative,T1,6,DOT
2025-04-01,conservative,T1,7,XLM
2025-04-01,conservative,T1,8,AVAX
2025-04-01,conservative,T1,9,LINK
2025-04-01,conservative,T1,10,ETH
2025-04-02,conservative,T0,1,BNB
2025-04-02,conservative,T0,2,TRX
2025-04-02,conservative,T0,3,BCH
2025-04-02,conservative,T0,4,BTC
2025-04-02,conservative,T0,5,DOT
2025-04-02,conservative,T0,6,ETC
2025-04-02,conservative,T0,7,XRP
2025-04-02,conservative,T0,8,XLM
2025-04-02,conservative,T0,9,LINK
2025-04-02,conservative,T0,10,ETH
2025-04-02,conservative,T1,1,BNB
2025-04-02,conservative,T1,2,BCH
2025-04-02,conservative,T1,3,BTC
2025-04-02,conservative,T1,4,XRP
2025-04-02,conservative,T1,5,TRX
2025-04-02,conservative,T1,6,LINK
2025-04-02,conservative,T1,7,DOT
2025-04-02,conservative,T1,8,XLM
2025-04-02,conservative,T1,9,ETC
2025-04-02,conservative,T1,10,AVAX
2025-04-03,conservative,T0,1,BNB
2025-04-03,conservative,T0,2,BTC
2025-04-03,conservative,T0,3,DOT
2025-04-03,conservative,T0,4,BCH
2025-04-03,conservative,T0,5,TRX
2025-04-03,conservative,T0,6,XLM
2025-04-03,conservative,T0,7,LINK
2025-04-03,conservative,T0,8,ETC
2025-04-03,conservative,T0,9,AVAX
2025-04-03,conservative,T0,10,XRP
2025-04-03,conservative,T1,1,BNB
2025-04-03,conservative,T1,2,BTC
2025-04-03,conservative,T1,3,BCH
2025-04-03,conservative,T1,4,DOT
2025-04-03,conservative,T1,5,TRX
2025-04-03,conservative,T1,6,LINK
2025-04-03,conservative,T1,7,XLM
2025-04-03,conservative,T1,8,AVAX
2025-04-03,conservative,T1,9,XRP
2025-04-03,conservative,T1,10,ETC
2025-04-04,conservative,T0,1,BNB
2025-04-04,conservative,T0,2,TRX
2025-04-04,conservative,T0,3,BTC
2025-04-04,conservative,T0,4,XLM
2025-04-04,conservative,T0,5,DOT
2025-04-04,conservative,T0,6,XRP
2025-04-04,conservative,T0,7,ETC
2025-04-04,conservative,T0,8,LTC
2025-04-04,conservative,T0,9,ETH
2025-04-04,conservative,T0,10,AVAX
2025-04-04,conservative,T1,1,BNB
2025-04-04,conservative,T1,2,TRX
2025-04-04,conservative,T1,3,BTC
2025-04-04,conservative,T1,4,XLM
2025-04-04,conservative,T1,5,DOT
2025-04-04,conservative,T1,6,XRP
2025-04-04,conservative,T1,7,ETC
2025-04-04,conservative,T1,8,LTC
2025-04-04,conservative,T1,9,AVAX
2025-04-04,conservative,T1,10,ETH
2025-04-05,conservative,T0,1,BNB
2025-04-05,conservative,T0,2,TRX
2025-04-05,conservative,T0,3,BTC
2025-04-05,conservative,T0,4,XLM
2025-04-05,conservative,T0,5,DOT
2025-04-05,conservative,T0,6,ETC
2025-04-05,conservative,T0,7,LTC
2025-04-05,conservative,T0,8,AVAX
2025-04-05,conservative,T0,9,ETH
2025-04-05,conservative,T0,10,SOL
2025-04-05,conservative,T1,1,BNB
2025-04-05,conservative,T1,2,TRX
2025-04-05,conservative,T1,3,BTC
2025-04-05,conservative,T1,4,XLM
2025-04-05,conservative,T1,5,DOT
2025-04-05,conservative,T1,6,ETC
2025-04-05,conservative,T1,7,LTC
2025-04-05,conservative,T1,8,AVAX
2025-04-05,conservative,T1,9,ETH
2025-04-05,conservative,T1,10,SOL
2025-04-06,conservative,T0,1,BNB
2025-04-06,conservative,T0,2,TRX
2025-04-06,conservative,T0,3,BTC
2025-04-06,conservative,T0,4,XLM
2025-04-06,conservative,T0,5,DOT
2025-04-06,conservative,T0,6,XRP
2025-04-06,conservative,T0,7,AVAX
2025-04-06,conservative,T0,8,SOL
2025-04-06,conservative,T0,9,ETC
2025-04-06,conservative,T0,10,ETH
2025-04-06,conservative,T1,1,BNB
2025-04-06,conservative,T1,2,TRX
2025-04-06,conservative,T1,3,BTC
2025-04-06,conservative,T1,4,XLM
2025-04-06,conservative,T1,5,DOT
2025-04-06,conservative,T1,6,XRP
2025-04-06,conservative,T1,7,ETC
2025-04-06,conservative,T1,8,AVAX
2025-04-06,conservative,T1,9,SOL
2025-04-06,conservative,T1,10,ETH
2025-04-07,conservative,T0,1,BNB
2025-04-07,conservative,T0,2,TRX
2025-04-07,conservative,T0,3,BTC
2025-04-07,conservative,T0,4,XLM
2025-04-07,conservative,T0,5,DOT
2025-04-07,conservative,T0,6,XRP
2025-04-07,conservative,T0,7,SOL
2025-04-07,conservative,T0,8,ETC
2025-04-07,conservative,T0,9,LINK
2025-04-07,conservative,T0,10,AVAX
2025-04-07,conservative,T1,1,TRX
2025-04-07,conservative,T1,2,BNB
2025-04-07,conservative,T1,3,BTC
2025-04-07,conservative,T1,4,XLM
2025-04-07,conservative,T1,5,XRP
2025-04-07,conservative,T1,6,DOT
2025-04-07,conservative,T1,7,SOL
2025-04-07,conservative,T1,8,AVAX
2025-04-07,conservative,T1,9,LINK
2025-04-07,conservative,T1,10,BCH
2025-04-08,conservative,T0,1,BNB
2025-04-08,conservative,T0,2,TRX
2025-04-08,conservative,T0,3,BTC
2025-04-08,conservative,T0,4,DOT
2025-04-08,conservative,T0,5,XLM
2025-04-08,conservative,T0,6,AVAX
2025-04-08,conservative,T0,7,XRP
2025-04-08,conservative,T0,8,DOGE
2025-04-08,conservative,T0,9,LINK
2025-04-08,conservative,T0,10,SOL
2025-04-08,conservative,T1,1,BNB
2025-04-08,conservative,T1,2,TRX
2025-04-08,conservative,T1,3,BTC
2025-04-08,conservative,T1,4,AVAX
2025-04-08,conservative,T1,5,XLM
2025-04-08,conservative,T1,6,DOT
2025-04-08,conservative,T1,7,XRP
2025-04-08,conservative,T1,8,DOGE
2025-04-08,conservative,T1,9,LINK
2025-04-08,conservative,T1,10,SOL
2025-04-09,conservative,T0,1,BNB
2025-04-09,conservative,T0,2,TRX
2025-04-09,conservative,T0,3,BTC
2025-04-09,conservative,T0,4,XLM
2025-04-09,conservative,T0,5,DOT
2025-04-09,conservative,T0,6,AVAX
2025-04-09,conservative,T0,7,DOGE
2025-04-09,conservative,T0,8,ETC
2025-04-09,conservative,T0,9,XRP
2025-04-09,conservative,T0,10,SOL
2025-04-09,conservative,T1,1,BNB
2025-04-09,conservative,T1,2,TRX
2025-04-09,conservative,T1,3,BTC
2025-04-09,conservative,T1,4,XLM
2025-04-09,conservative,T1,5,DOT
2025-04-09,conservative,T1,6,AVAX
2025-04-09,conservative,T1,7,DOGE
2025-04-09,conservative,T1,8,ETC
2025-04-09,conservative,T1,9,XRP
2025-04-09,conservative,T1,10,SOL
2025-04-10,conservative,T0,1,TRX
2025-04-10,conservative,T0,2,BNB
2025-04-10,conservative,T0,3,BTC
2025-04-10,conservative,T0,4,XLM
2025-04-10,conservative,T0,5,DOT
2025-04-10,conservative,T0,6,AVAX
2025-04-10,conservative,T0,7,ETC
2025-04-10,conservative,T0,8,DOGE
2025-04-10,conservative,T0,9,XRP
2025-04-10,conservative,T0,10,LTC
2025-04-10,conservative,T1,1,TRX
2025-04-10,conservative,T1,2,BNB
2025-04-10,conservative,T1,3,BTC
2025-04-10,conservative,T1,4,DOT
2025-04-10,conservative,T1,5,XLM
2025-04-10,conservative,T1,6,AVAX
2025-04-10,conservative,T1,7,ETC
2025-04-10,conservative,T1,8,DOGE
2025-04-10,conservative,T1,9,ETH
2025-04-10,conservative,T1,10,LTC
2025-04-11,conservative,T0,1,TRX
2025-04-11,conservative,T0,2,BNB
2025-04-11,conservative,T0,3,BTC
2025-04-11,conservative,T0,4,DOT
2025-04-11,conservative,T0,5,XLM
2025-04-11,conservative,T0,6,DOGE
2025-04-11,conservative,T0,7,ETC
2025-04-11,conservative,T0,8,XRP
2025-04-11,conservative,T0,9,SOL
2025-04-11,conservative,T0,10,LTC
2025-04-11,conservative,T1,1,TRX
2025-04-11,conservative,T1,2,BNB
2025-04-11,conservative,T1,3,DOT
2025-04-11,conservative,T1,4,BTC
2025-04-11,conservative,T1,5,XLM
2025-04-11,conservative,T1,6,DOGE
2025-04-11,conservative,T1,7,ETC
2025-04-11,conservative,T1,8,XRP
2025-04-11,conservative,T1,9,LTC
2025-04-11,conservative,T1,10,ETH
2025-04-12,conservative,T0,1,TRX
2025-04-12,conservative,T0,2,BNB
2025-04-12,conservative,T0,3,BTC
2025-04-12,conservative,T0,4,DOT
2025-04-12,conservative,T0,5,DOGE
2025-04-12,conservative,T0,6,XLM
2025-04-12,conservative,T0,7,LTC
2025-04-12,conservative,T0,8,ETC
2025-04-12,conservative,T0,9,ETH
2025-04-12,conservative,T0,10,LINK
2025-04-12,conservative,T1,1,TRX
2025-04-12,conservative,T1,2,BNB
2025-04-12,conservative,T1,3,BTC
2025-04-12,conservative,T1,4,DOT
2025-04-12,conservative,T1,5,DOGE
2025-04-12,conservative,T1,6,XLM
2025-04-12,conservative,T1,7,LTC
2025-04-12,conservative,T1,8,ETC
2025-04-12,conservative,T1,9,ETH
2025-04-12,conservative,T1,10,XRP
2025-04-13,conservative,T0,1,TRX
2025-04-13,conservative,T0,2,BNB
2025-04-13,conservative,T0,3,BTC
2025-04-13,conservative,T0,4,DOT
2025-04-13,conservative,T0,5,XLM
2025-04-13,conservative,T0,6,DOGE
2025-04-13,conservative,T0,7,ETC
2025-04-13,conservative,T0,8,ETH
2025-04-13,conservative,T0,9,AVAX
2025-04-13,conservative,T0,10,XRP
2025-04-13,conservative,T1,1,TRX
2025-04-13,conservative,T1,2,BNB
2025-04-13,conservative,T1,3,BTC
2025-04-13,conservative,T1,4,DOT
2025-04-13,conservative,T1,5,XLM
2025-04-13,conservative,T1,6,DOGE
2025-04-13,conservative,T1,7,ETC
2025-04-13,conservative,T1,8,ETH
2025-04-13,conservative,T1,9,AVAX
2025-04-13,conservative,T1,10,XRP
2025-04-14,conservative,T0,1,TRX
2025-04-14,conservative,T0,2,BNB
2025-04-14,conservative,T0,3,BTC
2025-04-14,conservative,T0,4,DOT
2025-04-14,conservative,T0,5,XLM
2025-04-14,conservative,T0,6,ETC
2025-04-14,conservative,T0,7,DOGE
2025-04-14,conservative,T0,8,AVAX
2025-04-14,conservative,T0,9,LTC
2025-04-14,conservative,T0,10,ETH
2025-04-14,conservative,T1,1,TRX
2025-04-14,conservative,T1,2,BNB
2025-04-14,conservative,T1,3,BTC
2025-04-14,conservative,T1,4,DOT
2025-04-14,conservative,T1,5,XLM
2025-04-14,conservative,T1,6,ETC
2025-04-14,conservative,T1,7,DOGE
2025-04-14,conservative,T1,8,AVAX
2025-04-14,conservative,T1,9,ETH
2025-04-14,conservative,T1,10,ADA
2025-04-15,conservative,T0,1,TRX
2025-04-15,conservative,T0,2,BNB
2025-04-15,conservative,T0,3,BTC
2025-04-15,conservative,T0,4,XLM
2025-04-15,conservative,T0,5,ETC
2025-04-15,conservative,T0,6,DOT
2025-04-15,conservative,T0,7,AVAX
2025-04-15,conservative,T0,8,DOGE
2025-04-15,conservative,T0,9,LTC
2025-04-15,conservative,T0,10,ADA
2025-04-15,conservative,T1,1,TRX
2025-04-15,conservative,T1,2,BNB
2025-04-15,conservative,T1,3,BTC
2025-04-15,conservative,T1,4,XLM
2025-04-15,conservative,T1,5,DOT
2025-04-15,conservative,T1,6,ETC
2025-04-15,conservative,T1,7,DOGE
2025-04-15,conservative,T1,8,AVAX
2025-04-15,conservative,T1,9,ADA
2025-04-15,conservative,T1,10,LINK
2025-04-16,conservative,T0,1,TRX
2025-04-16,conservative,T0,2,BTC
2025-04-16,conservative,T0,3,BNB
2025-04-16,conservative,T0,4,AVAX
2025-04-16,conservative,T0,5,XLM
2025-04-16,conservative,T0,6,ETC
2025-04-16,conservative,T0,7,DOGE
2025-04-16,conservative,T0,8,DOT
2025-04-16,conservative,T0,9,SOL
2025-04-16,conservative,T0,10,ADA
2025-04-16,conservative,T1,1,TRX
2025-04-16,conservative,T1,2,BTC
2025-04-16,conservative,T1,3,BNB
2025-04-16,conservative,T1,4,AVAX
2025-04-16,conservative,T1,5,DOGE
2025-04-16,conservative,T1,6,XLM
2025-04-16,conservative,T1,7,ETC
2025-04-16,conservative,T1,8,DOT
2025-04-16,conservative,T1,9,ADA
2025-04-16,conservative,T1,10,SOL
2025-04-17,conservative,T0,1,TRX
2025-04-17,conservative,T0,2,BNB
2025-04-17,conservative,T0,3,BTC
2025-04-17,conservative,T0,4,AVAX
2025-04-17,conservative,T0,5,DOGE
2025-04-17,conservative,T0,6,ETC
2025-04-17,conservative,T0,7,XLM
2025-04-17,conservative,T0,8,ADA
2025-04-17,conservative,T0,9,XRP
2025-04-17,conservative,T0,10,SOL
2025-04-17,conservative,T1,1,TRX
2025-04-17,conservative,T1,2,BNB
2025-04-17,conservative,T1,3,BTC
2025-04-17,conservative,T1,4,AVAX
2025-04-17,conservative,T1,5,DOGE
2025-04-17,conservative,T1,6,ETC
2025-04-17,conservative,T1,7,XLM
2025-04-17,conservative,T1,8,ADA
2025-04-17,conservative,T1,9,SOL
2025-04-17,conservative,T1,10,DOT
2025-04-18,conservative,T0,1,TRX
2025-04-18,conservative,T0,2,BNB
2025-04-18,conservative,T0,3,BTC
2025-04-18,conservative,T0,4,AVAX
2025-04-18,conservative,T0,5,DOGE
2025-04-18,conservative,T0,6,BCH
2025-04-18,conservative,T0,7,ETC
2025-04-18,conservative,T0,8,SOL
2025-04-18,conservative,T0,9,DOT
2025-04-18,conservative,T0,10,XLM
2025-04-18,conservative,T1,1,TRX
2025-04-18,conservative,T1,2,BNB
2025-04-18,conservative,T1,3,BTC
2025-04-18,conservative,T1,4,AVAX
2025-04-18,conservative,T1,5,DOGE
2025-04-18,conservative,T1,6,BCH
2025-04-18,conservative,T1,7,ETC
2025-04-18,conservative,T1,8,SOL
2025-04-18,conservative,T1,9,DOT
2025-04-18,conservative,T1,10,XLM
2025-04-19,conservative,T0,1,TRX
2025-04-19,conservative,T0,2,BTC
2025-04-19,conservative,T0,3,BNB
2025-04-19,conservative,T0,4,AVAX
2025-04-19,conservative,T0,5,BCH
2025-04-19,conservative,T0,6,SOL
2025-04-19,conservative,T0,7,DOGE
2025-04-19,conservative,T0,8,ETC
2025-04-19,conservative,T0,9,ADA
2025-04-19,conservative,T0,10,XLM
2025-04-19,conservative,T1,1,TRX
2025-04-19,conservative,T1,2,BTC
2025-04-19,conservative,T1,3,BNB
2025-04-19,conservative,T1,4,AVAX
2025-04-19,conservative,T1,5,BCH
